GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,AIUXE001,AIUXE002,AIUXE003,AIUXE004,AIUXE005,AIUXE006,AIUXE007,AIUXE008,AIUXE009,AIUXE010,NAME_M,AIUXM001,AIUXM002,AIUXM003,AIUXM004,AIUXM005,AIUXM006,AIUXM007,AIUXM008,AIUXM009,AIUXM010
"G06027","2018",,,"California","06",,,,,,,,,,,,,"27",,,,,"Congressional District 27 (116th Congress), California",705509,266686,28424,2216,282449,945,96228,28561,6698,21863,"Congressional District 27 (116th Congress), California",8779,9977,4677,694,9806,637,9035,4311,1861,3773
"G06028","2018",,,"California","06",,,,,,,,,,,,,"28",,,,,"Congressional District 28 (116th Congress), California",709450,489020,15673,3765,92452,489,76475,31576,6489,25087,"Congressional District 28 (116th Congress), California",16156,15106,2762,1590,7693,372,8182,4232,1986,3324
"G06029","2018",,,"California","06",,,,,,,,,,,,,"29",,,,,"Congressional District 29 (116th Congress), California",707741,389138,27739,4958,56157,1385,208277,20087,6264,13823,"Congressional District 29 (116th Congress), California",17829,13719,5095,1947,6784,1460,13521,3650,1253,3384
"G06030","2018",,,"California","06",,,,,,,,,,,,,"30",,,,,"Congressional District 30 (116th Congress), California",766513,475246,38904,3759,105314,533,104928,37829,8597,29232,"Congressional District 30 (116th Congress), California",21466,14286,5917,1125,8490,446,12366,5096,2553,4842
"G06031","2018",,,"California","06",,,,,,,,,,,,,"31",,,,,"Congressional District 31 (116th Congress), California",751527,472619,76166,3930,54119,4024,101105,39564,10037,29527,"Congressional District 31 (116th Congress), California",11068,14532,8700,1637,6162,1846,10004,5634,2643,4780
"G06032","2018",,,"California","06",,,,,,,,,,,,,"32",,,,,"Congressional District 32 (116th Congress), California",716199,369379,19399,9652,133003,3683,119936,61147,42928,18219,"Congressional District 32 (116th Congress), California",11402,14385,3166,3863,8240,2316,12295,9032,7575,3656
"G06033","2018",,,"California","06",,,,,,,,,,,,,"33",,,,,"Congressional District 33 (116th Congress), California",704818,506075,29120,2800,99123,630,22895,44175,3545,40630,"Congressional District 33 (116th Congress), California",14185,11846,5775,1416,6202,414,4467,5750,1221,5682
"G06034","2018",,,"California","06",,,,,,,,,,,,,"34",,,,,"Congressional District 34 (116th Congress), California",748812,259995,44238,9874,151348,1538,256530,25289,8015,17274,"Congressional District 34 (116th Congress), California",15668,11352,4464,2531,9927,1043,15336,3638,1577,3054
"G06035","2018",,,"California","06",,,,,,,,,,,,,"35",,,,,"Congressional District 35 (116th Congress), California",769589,341427,42948,7224,57508,791,285674,34017,15325,18692,"Congressional District 35 (116th Congress), California",11288,15197,5044,2908,6621,583,16306,6765,5541,3683
"G06036","2018",,,"California","06",,,,,,,,,,,,,"36",,,,,"Congressional District 36 (116th Congress), California",752138,500142,34742,7241,31560,1644,153319,23490,7626,15864,"Congressional District 36 (116th Congress), California",7316,10972,5339,1418,5208,1206,11117,2968,2027,2361
